,minority,age,gender,credits,beauty,eval,students,allstudents
80,no,37,female,more,0.5502877831459045,2.900000095367432,21,26
81,no,37,female,more,0.5502877831459045,3.0999999046325684,29,30
82,no,45,male,more,-0.062035799026489265,4.5,23,33
83,no,45,male,more,-0.062035799026489265,4.0,45,177
84,no,45,male,more,-0.062035799026489265,4.0,90,199
85,no,45,male,more,-0.062035799026489265,4.199999809265137,27,32
86,no,45,male,more,-0.062035799026489265,3.7999999523162837,35,37
87,no,45,male,more,-0.062035799026489265,4.300000190734863,120,161
88,no,56,female,more,-0.9823852181434632,4.0,27,41
89,no,56,female,more,-0.9823852181434632,4.599999904632568,39,44
90,no,56,female,more,-0.9823852181434632,4.300000190734863,35,53
91,no,56,female,more,-0.9823852181434632,3.5999999046325684,34,49
92,no,56,female,more,-0.9823852181434632,4.199999809265137,27,32
93,no,48,male,more,-0.054343998432159424,3.7999999523162837,100,135
94,no,48,male,more,-0.054343998432159424,3.900000095367432,20,33
95,no,48,male,more,-0.054343998432159424,4.099999904632568,14,19
96,no,48,male,more,-0.054343998432159424,4.0,65,111
97,no,48,male,more,-0.054343998432159424,4.300000190734863,95,149
98,no,48,male,more,-0.054343998432159424,3.900000095367432,18,27
99,no,48,male,more,-0.054343998432159424,4.199999809265137,85,136
100,no,48,male,more,-0.054343998432159424,4.199999809265137,113,140
101,no,46,female,more,-0.06801430135965347,4.300000190734863,25,31
102,no,46,female,more,-0.06801430135965347,4.900000095367432,14,15
103,no,46,female,more,-0.06801430135965347,4.0,23,29
104,no,46,female,more,-0.06801430135965347,4.300000190734863,23,25
105,no,46,female,more,-0.06801430135965347,4.900000095367432,9,18
106,no,46,female,more,-0.06801430135965347,3.900000095367432,30,45
107,no,46,female,more,-0.06801430135965347,4.900000095367432,15,15
108,no,46,female,more,-0.06801430135965347,3.900000095367432,31,38
109,no,46,female,more,-0.06801430135965347,4.0,12,15
110,no,57,female,more,0.02941370010375977,3.400000095367432,17,28
111,no,57,female,more,0.02941370010375977,3.5,10,23
112,no,57,female,more,0.02941370010375977,3.900000095367432,15,19
113,no,57,female,more,0.02941370010375977,4.0,7,23
114,no,57,female,more,0.02941370010375977,3.5999999046325684,7,22
115,no,57,female,more,0.02941370010375977,3.0,14,20
116,no,57,female,more,0.02941370010375977,3.0,8,19
117,no,57,female,more,0.02941370010375977,3.5999999046325684,17,23
118,no,57,female,more,0.02941370010375977,3.5999999046325684,10,22
119,no,57,female,more,0.02941370010375977,3.2000000476837163,12,15
120,no,52,female,more,0.23948590457439425,3.400000095367432,19,22
121,no,52,female,more,0.23948590457439425,3.900000095367432,27,31
122,no,52,female,more,0.23948590457439425,3.5,20,21
123,no,52,female,more,0.23948590457439425,3.5,31,36
124,no,52,female,single,0.23948590457439425,3.0999999046325684,17,19
125,no,52,female,more,0.23948590457439425,4.199999809265137,23,37
126,no,62,male,more,-0.7330914139747621,4.300000190734863,30,39
127,no,62,male,more,-0.7330914139747621,3.5999999046325684,94,184
128,no,62,male,more,-0.7330914139747621,4.5,46,50
129,no,62,male,more,-0.7330914139747621,3.7000000476837163,80,157
130,no,62,male,more,-0.7330914139747621,3.400000095367432,61,164
131,no,64,male,more,-0.11112210154533386,4.400000095367432,15,24
132,no,64,male,more,-0.11112210154533386,4.5,51,68
133,no,64,male,more,-0.11112210154533386,4.599999904632568,22,47
134,no,64,male,more,-0.11112210154533386,4.800000190734863,10,14
135,no,64,male,more,-0.11112210154533386,4.5,11,15
136,no,64,male,more,-0.11112210154533386,4.400000095367432,15,24
137,no,64,male,more,-0.11112210154533386,4.099999904632568,21,39
138,no,34,female,more,1.7755169868469238,4.599999904632568,20,26
139,no,34,female,more,1.7755169868469238,3.900000095367432,33,40
140,no,58,male,more,-0.3218485116958618,4.199999809265137,84,159
141,no,58,male,more,-0.3218485116958618,4.300000190734863,71,151
142,no,58,male,more,-0.3218485116958618,3.5,36,47
143,no,58,male,more,-0.3218485116958618,4.0,73,122
144,no,58,male,more,-0.3218485116958618,4.0,31,45
145,yes,52,male,more,0.2116938978433609,4.0,13,16
146,yes,52,male,more,0.2116938978433609,4.599999904632568,23,23
147,yes,52,male,more,0.2116938978433609,4.599999904632568,12,16
148,yes,52,male,more,0.2116938978433609,3.7000000476837163,15,18
149,yes,52,male,more,0.2116938978433609,3.5,11,16
150,yes,52,male,more,0.2116938978433609,3.5999999046325684,12,15
151,yes,52,male,more,0.2116938978433609,3.900000095367432,18,28
152,no,73,male,more,-0.717644989490509,3.2999999523162837,12,17
153,no,73,male,more,-0.717644989490509,4.199999809265137,10,13
154,no,73,male,more,-0.717644989490509,3.2000000476837163,16,21
155,no,73,male,more,-0.717644989490509,4.900000095367432,13,17
156,no,70,male,more,-0.7326927185058594,4.400000095367432,47,134
157,no,70,male,more,-0.7326927185058594,4.0,5,48
158,no,70,male,more,-0.7326927185058594,3.5,34,64
159,no,70,male,more,-0.7326927185058594,3.400000095367432,24,69
160,no,63,male,more,-0.010207699611783028,3.5,28,43
161,no,63,male,more,-0.010207699611783028,4.199999809265137,11,14
162,no,63,male,more,-0.010207699611783028,3.5,10,15
163,no,63,male,more,-0.010207699611783028,4.400000095367432,14,18
164,no,63,male,more,-0.010207699611783028,3.7000000476837163,12,16
165,no,63,male,more,-0.010207699611783028,3.400000095367432,8,10
166,no,63,male,more,-0.010207699611783028,3.0,23,47
167,no,47,male,more,-0.9239569902420044,4.699999809265137,10,15
168,no,47,male,more,-0.9239569902420044,3.900000095367432,10,14
169,no,47,male,more,-0.9239569902420044,2.799999952316284,10,12
170,no,39,male,more,0.5766804814338684,3.900000095367432,86,246
171,no,39,male,more,0.5766804814338684,3.7000000476837163,154,316
172,no,39,male,more,0.5766804814338684,4.599999904632568,12,15
173,no,39,male,more,0.5766804814338684,4.199999809265137,14,15
174,no,39,male,more,0.5766804814338684,4.400000095367432,27,29
175,yes,47,female,more,-0.08360149711370468,4.0,21,21
176,yes,47,female,more,-0.08360149711370468,3.7999999523162837,8,8
177,yes,47,female,single,-0.08360149711370468,4.099999904632568,16,16
178,yes,47,female,more,-0.08360149711370468,3.7000000476837163,24,26
179,yes,47,female,more,-0.08360149711370468,4.099999904632568,7,10
180,yes,47,female,more,-0.08360149711370468,3.0,25,26
181,yes,47,female,more,-0.08360149711370468,3.2000000476837163,24,26
182,yes,47,female,more,-0.08360149711370468,2.799999952316284,24,26
183,yes,47,female,single,-0.08360149711370468,4.699999809265137,20,21
184,yes,47,female,more,-0.08360149711370468,4.199999809265137,12,12
185,yes,47,female,more,-0.08360149711370468,3.2000000476837163,25,27
186,yes,47,female,more,-0.08360149711370468,3.0999999046325684,26,27
187,yes,47,female,more,-0.08360149711370468,4.0,24,25
188,no,54,male,more,-1.07955801486969,4.300000190734863,15,15
189,no,54,male,more,-1.07955801486969,4.199999809265137,10,15
190,no,54,male,more,-1.07955801486969,4.300000190734863,16,17
191,yes,44,female,more,1.0409020185470579,3.7999999523162837,30,55
192,yes,44,female,more,1.0409020185470579,3.2999999523162837,35,48
193,yes,44,female,more,1.0409020185470579,4.099999904632568,21,21
194,yes,44,female,more,1.0409020185470579,3.7000000476837163,35,39
195,yes,47,male,more,-1.0521080493927002,3.7999999523162837,20,27
196,yes,47,male,more,-1.0521080493927002,3.2999999523162837,9,14
197,yes,47,male,more,-1.0521080493927002,3.7999999523162837,21,26
198,yes,47,male,more,-1.0521080493927002,3.400000095367432,13,16
199,yes,47,male,more,-1.0521080493927002,4.199999809265137,13,16
200,yes,47,male,more,-1.0521080493927002,3.7999999523162837,12,13
201,yes,47,male,more,-1.0521080493927002,3.5,14,14
202,yes,47,male,more,-1.0521080493927002,3.2999999523162837,15,17
203,no,62,male,more,-0.7277681231498718,4.0,12,13
204,no,62,male,more,-0.7277681231498718,4.300000190734863,13,15
205,no,62,male,more,-0.7277681231498718,4.099999904632568,7,10
206,no,60,male,more,-0.395396500825882,4.599999904632568,25,34
207,no,60,male,more,-0.395396500825882,4.5,12,16
208,no,60,male,more,-0.395396500825882,4.5,11,14
209,no,60,male,more,-0.395396500825882,4.599999904632568,8,12
210,no,60,male,more,-0.395396500825882,4.400000095367432,24,39
211,no,60,male,more,-0.395396500825882,4.099999904632568,15,35
212,no,60,male,more,-0.395396500825882,4.5,31,45
213,no,60,male,more,-0.395396500825882,4.300000190734863,36,45
214,no,42,male,more,-0.23777860403060916,4.699999809265137,13,14
215,no,42,male,more,-0.23777860403060916,4.400000095367432,14,14
216,no,42,male,more,-0.23777860403060916,4.900000095367432,13,14
217,no,42,male,more,-0.23777860403060916,4.699999809265137,12,12
218,no,42,male,more,-0.23777860403060916,4.599999904632568,13,15
219,no,35,male,more,0.2749080061912537,4.199999809265137,42,51
220,no,35,male,more,0.2749080061912537,4.800000190734863,21,23
221,no,35,male,more,0.2749080061912537,4.199999809265137,49,57
222,no,35,male,more,0.2749080061912537,4.599999904632568,44,50
223,no,39,female,more,1.9700230360031128,3.400000095367432,22,24
224,no,39,female,more,1.9700230360031128,4.699999809265137,18,23
225,no,39,female,more,1.9700230360031128,4.599999904632568,20,23
226,no,39,female,more,1.9700230360031128,3.5999999046325684,27,28
227,no,49,male,more,1.0509500503540041,3.900000095367432,28,45
228,no,49,male,more,1.0509500503540041,3.900000095367432,27,42
229,no,49,male,more,1.0509500503540041,4.0,49,57
230,no,61,male,more,0.24181850254535675,4.5,22,27
231,no,61,male,more,0.24181850254535675,4.400000095367432,31,38
232,no,61,male,more,0.24181850254535675,4.5,19,22
233,no,61,male,more,0.24181850254535675,4.400000095367432,27,43
234,no,33,male,more,1.3493950366973877,4.699999809265137,30,31
235,no,33,male,more,1.3493950366973877,3.0,12,13
236,no,33,male,more,1.3493950366973877,3.7000000476837163,13,15
237,no,56,female,more,-0.2577253878116608,3.7000000476837163,12,19
238,no,56,female,more,-0.2577253878116608,3.5999999046325684,16,20
239,no,56,female,more,-0.2577253878116608,3.0999999046325684,17,23
240,no,50,female,more,-0.6562688946723938,4.0,22,27
241,no,50,female,single,-0.6562688946723938,3.7999999523162837,24,32
242,no,50,female,single,-0.6562688946723938,4.699999809265137,14,21
243,no,50,female,more,-0.6562688946723938,3.7999999523162837,23,24
244,no,50,female,more,-0.6562688946723938,3.7999999523162837,19,21
245,no,50,female,more,-0.6562688946723938,2.799999952316284,18,28
246,no,50,female,more,-0.6562688946723938,4.0,23,29
247,no,52,male,more,-0.6563947796821594,4.099999904632568,57,67
248,no,52,male,more,-0.6563947796821594,4.0,81,89
249,no,52,male,more,-0.6563947796821594,3.5,74,82
250,no,52,male,more,-0.6563947796821594,3.400000095367432,102,122
251,no,52,male,more,-0.6563947796821594,4.0,94,131
252,no,52,male,more,-0.6563947796821594,3.5,89,114
253,no,52,male,more,-0.6563947796821594,3.7999999523162837,133,149
254,no,52,male,more,-0.6563947796821594,4.699999809265137,22,23
255,no,52,male,more,-0.6563947796821594,3.900000095367432,78,98
256,no,52,male,more,-0.6563947796821594,4.5,22,27
257,no,52,male,more,-0.6563947796821594,4.199999809265137,27,30
258,no,52,male,more,-0.6563947796821594,4.699999809265137,27,30
259,no,52,male,more,-0.6563947796821594,4.0,60,69
260,no,33,female,more,0.7244775295257568,4.400000095367432,10,15
261,no,33,female,more,0.7244775295257568,4.800000190734863,10,10
262,no,33,female,more,0.7244775295257568,4.800000190734863,10,11
263,no,33,female,more,0.7244775295257568,4.400000095367432,10,14
264,no,33,female,more,0.7244775295257568,4.699999809265137,7,11
265,no,33,female,more,0.7244775295257568,4.5,14,14
266,no,57,male,more,0.6318343281745911,4.199999809265137,69,77
267,no,57,male,more,0.6318343281745911,4.199999809265137,36,41
268,no,57,male,more,0.6318343281745911,4.400000095367432,72,88
269,no,57,male,more,0.6318343281745911,4.099999904632568,63,78
270,no,38,female,more,1.0709439516067505,4.5,46,65
271,no,38,female,more,1.0709439516067505,4.199999809265137,109,157
272,no,38,female,more,1.0709439516067505,4.800000190734863,54,68
273,no,38,female,more,1.0709439516067505,4.400000095367432,51,67
274,no,38,female,more,1.0709439516067505,4.699999809265137,61,80
275,no,38,female,more,1.0709439516067505,4.199999809265137,102,137
276,no,38,female,more,1.0709439516067505,4.5,58,69
277,no,34,female,more,-1.4504940509796145,3.7999999523162837,54,91
278,no,34,female,more,-1.4504940509796145,3.400000095367432,46,80
279,no,34,female,more,-1.4504940509796145,3.7000000476837163,53,90
280,no,34,female,more,-1.4504940509796145,3.5999999046325684,19,34
281,no,34,female,more,-1.4504940509796145,3.900000095367432,41,73
282,no,34,female,more,-1.4504940509796145,3.900000095367432,25,44
283,no,34,male,more,1.1558799743652344,3.0999999046325684,24,36
284,no,34,male,more,1.1558799743652344,3.7000000476837163,16,20
285,no,34,male,more,1.1558799743652344,3.0,20,35
286,no,32,male,more,-0.3260147869586945,3.7000000476837163,85,248
287,no,32,male,more,-0.3260147869586945,3.5999999046325684,69,168
288,no,32,male,more,-0.3260147869586945,3.5999999046325684,98,247
289,no,32,male,more,-0.3260147869586945,4.300000190734863,20,22
290,no,32,male,more,-0.3260147869586945,4.5,72,103
291,no,42,female,more,0.8846434950828552,3.900000095367432,44,62
292,no,42,female,more,0.8846434950828552,3.900000095367432,51,82
293,no,43,female,more,-0.5583451986312866,4.0,35,51
294,no,43,female,more,-0.5583451986312866,4.599999904632568,18,35
295,no,43,female,more,-0.5583451986312866,4.099999904632568,26,34
296,no,43,female,more,-0.5583451986312866,4.199999809265137,28,37
297,no,43,female,more,-0.5583451986312866,4.099999904632568,13,14
298,no,43,female,more,-0.5583451986312866,3.0999999046325684,174,266
299,no,43,female,more,-0.5583451986312866,3.5999999046325684,171,254
300,no,43,female,more,-0.5583451986312866,4.199999809265137,10,13
301,no,43,female,more,-0.5583451986312866,3.0,166,282
302,no,43,female,more,-0.5583451986312866,4.199999809265137,17,17
303,no,35,male,more,-0.3415543138980865,3.2999999523162837,11,19
304,no,35,male,more,-0.3415543138980865,3.400000095367432,22,42
305,no,62,female,more,-0.5040575265884399,3.0999999046325684,22,27
306,no,62,female,more,-0.5040575265884399,3.0999999046325684,9,16
307,no,62,female,more,-0.5040575265884399,2.700000047683716,14,19
308,no,52,female,more,0.7735239863395691,3.7000000476837163,64,88
309,no,52,female,more,0.7735239863395691,3.900000095367432,70,98
310,no,52,female,more,1.0639380216598509,3.400000095367432,31,44
311,no,52,female,more,1.0639380216598509,3.900000095367432,49,65
312,no,52,female,more,1.0639380216598509,3.5999999046325684,32,63
313,no,52,female,more,-1.0903890132904053,4.300000190734863,59,75
314,no,52,female,more,-1.0903890132904053,3.7000000476837163,35,43
315,no,52,female,more,-1.0903890132904053,3.5999999046325684,59,80
316,no,52,female,more,-1.0903890132904053,4.400000095367432,45,52
317,no,52,female,more,-1.0903890132904053,4.300000190734863,34,48
318,no,52,female,more,-1.0903890132904053,4.099999904632568,50,66
319,no,52,female,more,-1.0903890132904053,3.7000000476837163,67,100
320,no,64,male,more,-1.0691620111465454,3.7000000476837163,9,11
321,no,64,male,more,-1.0691620111465454,3.5999999046325684,8,16
322,no,64,male,more,-1.0691620111465454,2.799999952316284,18,22
323,no,64,male,more,-1.0691620111465454,4.0,5,11
324,no,64,male,more,-1.0691620111465454,4.400000095367432,5,10
325,no,64,male,more,-1.0691620111465454,3.5999999046325684,16,16
326,no,50,male,more,1.4156949520111084,4.199999809265137,15,16
327,no,50,male,more,1.4156949520111084,3.7000000476837163,9,10
328,no,60,male,more,-1.4229190349578855,2.200000047683716,23,32
329,no,60,male,more,-1.4229190349578855,2.900000095367432,7,10
330,no,60,male,more,-1.4229190349578855,2.5999999046325684,10,16
331,no,43,male,more,-0.4899626076221466,4.300000190734863,19,22
332,no,43,male,single,-0.4899626076221466,4.800000190734863,15,28
333,no,43,male,single,-0.4899626076221466,4.900000095367432,18,30
334,no,43,male,more,-0.4899626076221466,4.300000190734863,11,15
335,no,43,male,more,-0.4899626076221466,4.400000095367432,10,13
336,no,43,male,single,-0.4899626076221466,4.300000190734863,17,18
337,no,43,male,single,-0.4899626076221466,4.699999809265137,22,26
338,no,43,male,single,-0.4899626076221466,4.300000190734863,18,30
339,no,43,male,more,-0.4899626076221466,4.599999904632568,14,14
340,yes,50,male,single,-0.5835868716239929,4.599999904632568,17,24
341,yes,50,male,single,-0.5835868716239929,4.900000095367432,20,22
342,yes,50,male,single,-0.5835868716239929,4.800000190734863,21,25
343,yes,50,male,single,-0.5835868716239929,4.699999809265137,23,26
344,yes,50,male,single,-0.5835868716239929,4.800000190734863,19,22
345,yes,50,male,single,-0.5835868716239929,4.900000095367432,20,26
346,yes,50,male,single,-0.5835868716239929,4.800000190734863,17,20
347,yes,50,male,single,-0.5835868716239929,4.800000190734863,18,22
348,yes,50,male,single,-0.5835868716239929,5.0,20,21
349,yes,50,male,single,-0.5835868716239929,4.5,19,21
350,no,52,male,more,0.7566828727722168,3.5,46,69
351,no,52,male,more,0.7566828727722168,3.7999999523162837,46,65
352,no,52,male,more,0.7566828727722168,3.7999999523162837,39,62
353,no,52,male,more,0.7566828727722168,3.7999999523162837,34,67
354,no,52,male,more,0.7566828727722168,4.0,29,40
355,no,52,male,more,0.7566828727722168,4.199999809265137,27,45
356,no,51,male,more,0.8808186054229736,4.599999904632568,348,574
357,no,51,male,more,0.8808186054229736,4.5,372,579
358,no,51,male,more,0.8808186054229736,4.5,343,537
359,no,51,male,more,0.8808186054229736,4.599999904632568,380,581
360,no,51,male,more,0.8808186054229736,4.699999809265137,322,527
361,no,38,male,more,-0.5665013790130615,3.7000000476837163,44,87
362,no,38,male,more,-0.5665013790130615,4.099999904632568,66,84
363,no,38,male,more,-0.5665013790130615,3.5999999046325684,40,79
364,no,38,male,more,-0.5665013790130615,4.0,60,92
365,no,47,female,more,0.3394036889076233,3.7999999523162837,19,24
366,no,47,female,more,0.3394036889076233,3.400000095367432,38,67
367,yes,43,female,more,-0.15136870741844174,3.5999999046325684,47,103
368,yes,43,female,more,-0.15136870741844174,2.799999952316284,93,190
369,no,38,female,more,-1.024996995925903,4.400000095367432,33,68
370,no,38,female,more,-1.024996995925903,4.099999904632568,36,60
371,no,38,female,more,-1.024996995925903,3.5,29,64
372,no,38,female,more,-1.024996995925903,3.400000095367432,23,31
373,no,38,female,more,-1.024996995925903,4.099999904632568,36,62
374,no,38,female,more,-1.024996995925903,4.199999809265137,30,37
375,no,43,male,more,-0.025244399905204773,4.099999904632568,10,13
376,no,43,male,more,-0.025244399905204773,4.300000190734863,8,13
377,no,43,male,more,-0.025244399905204773,4.099999904632568,12,15
378,no,43,male,more,-0.025244399905204773,3.400000095367432,65,79
379,no,57,male,more,-0.7467874884605408,4.300000190734863,7,13
380,no,57,male,more,-0.7467874884605408,3.5,53,98
381,no,57,male,more,-0.7467874884605408,3.5999999046325684,58,97
382,no,51,female,more,0.9889485239982604,4.0,9,11
383,no,51,female,more,0.9889485239982604,3.7000000476837163,67,78
384,no,51,female,more,0.9889485239982604,3.0,36,56
385,no,51,female,more,0.9889485239982604,4.599999904632568,17,20
386,no,45,male,single,-0.5324199199676514,4.800000190734863,12,17
387,no,45,male,single,-0.5324199199676514,4.0,17,20
388,no,45,male,more,-0.5324199199676514,4.800000190734863,13,19
389,no,45,male,single,-0.5324199199676514,4.599999904632568,19,26
390,no,57,male,more,-0.7668920755386353,3.5,13,14
391,no,57,male,more,-0.7668920755386353,3.400000095367432,12,18
392,no,57,male,more,-0.7668920755386353,4.400000095367432,12,12
393,no,57,male,more,-0.7668920755386353,3.5999999046325684,16,19
394,no,57,male,more,-0.7668920755386353,3.7999999523162837,12,16
395,no,57,male,more,-0.7668920755386353,3.7000000476837163,14,16
396,no,57,male,more,-0.7668920755386353,4.699999809265137,11,12
397,no,57,male,more,-0.7668920755386353,4.5,15,17
398,no,57,male,more,-0.7668920755386353,5.0,6,15
399,no,57,male,more,-0.7668920755386353,3.7999999523162837,15,16
400,no,57,male,more,-0.7668920755386353,4.099999904632568,12,17
401,no,47,female,more,1.154255986213684,3.5999999046325684,16,21
402,no,47,female,single,1.154255986213684,4.300000190734863,15,17
403,no,47,female,single,1.154255986213684,4.400000095367432,10,10
404,no,47,female,single,1.154255986213684,4.699999809265137,16,17
405,no,47,female,more,1.154255986213684,3.900000095367432,15,17
406,yes,54,female,more,1.2326020002365112,3.7999999523162837,18,18
407,yes,54,female,more,1.2326020002365112,4.800000190734863,15,16
408,yes,54,female,more,1.2326020002365112,4.300000190734863,21,26
409,yes,54,female,more,1.2326020002365112,4.599999904632568,14,18
410,yes,54,female,more,1.2326020002365112,3.7999999523162837,16,20
411,no,58,male,more,1.774333953857422,4.699999809265137,16,17
412,no,58,male,more,1.774333953857422,5.0,21,21
413,no,58,male,more,1.774333953857422,4.900000095367432,18,21
414,no,58,male,more,1.774333953857422,4.599999904632568,17,20
415,no,58,male,more,1.774333953857422,4.599999904632568,19,20
416,no,58,male,more,1.774333953857422,5.0,11,13
417,no,58,male,more,1.774333953857422,4.599999904632568,14,16
418,no,58,male,more,1.774333953857422,4.900000095367432,16,17
419,no,42,male,more,1.7731510400772097,4.900000095367432,15,18
420,no,42,male,more,1.7731510400772097,4.0,22,24
421,no,42,male,more,1.7731510400772097,3.900000095367432,17,20
422,no,33,male,more,0.7245926260948181,4.300000190734863,85,120
423,no,33,male,more,0.7245926260948181,4.099999904632568,67,155
424,no,62,male,more,-1.1816259622573853,3.2999999523162837,11,38
425,no,62,male,more,-1.1816259622573853,2.900000095367432,28,70
426,no,62,male,more,-1.1816259622573853,2.799999952316284,61,149
427,no,62,male,more,-1.1816259622573853,2.799999952316284,49,137
428,no,62,male,more,-1.1816259622573853,4.0,13,29
429,no,62,male,more,-1.1816259622573853,3.2999999523162837,28,55
430,no,62,male,more,-1.1816259622573853,3.0,67,136
431,yes,35,female,more,1.7694519758224487,3.400000095367432,60,96
432,yes,35,female,more,1.7694519758224487,3.5999999046325684,20,60
433,yes,35,female,more,1.7694519758224487,3.7999999523162837,43,108
434,no,61,male,more,-0.5872611999511719,3.5999999046325684,27,39
435,no,61,male,more,-0.5872611999511719,3.900000095367432,13,15
436,no,52,female,more,-0.001832399982959032,4.0,61,111
437,no,52,female,more,-0.001832399982959032,4.699999809265137,14,17
438,no,52,female,more,-0.001832399982959032,4.699999809265137,19,19
439,no,60,female,more,-0.05667660012841225,3.900000095367432,23,27
440,no,60,female,more,-0.05667660012841225,3.900000095367432,18,19
441,no,60,female,more,-0.05667660012841225,4.400000095367432,11,13
442,no,60,female,more,-0.05667660012841225,3.5999999046325684,18,19
443,no,60,female,more,-0.05667660012841225,4.199999809265137,11,22
444,no,60,female,more,-0.05667660012841225,3.400000095367432,7,20
445,no,60,female,more,-0.05667660012841225,4.0,24,27
446,no,32,male,more,1.2313940525054932,4.300000190734863,98,132
447,no,32,male,more,1.2313940525054932,4.199999809265137,111,127
448,no,32,male,more,1.2313940525054932,4.400000095367432,62,85
449,no,32,male,more,1.2313940525054932,4.5,76,101
